Nodes,X,Y,Elevation,ConnectedNodes,,,
1,0,0,0,2,14,,
2,0,0,0,1,3,5,
3,0,0,0,4,2,,
4,0,0,0,5,6,3,19
5,0,0,0,4,6,7,2
6,0,0,0,5,20,4,7
7,0,0,0,8,11,5,6
8,0,0,0,9,7,,
9,0,0,0,8,11,10,
10,0,0,0,12,9,,
11,0,0,0,7,9,12,21
12,0,0,0,11,10,13,
13,0,0,0,22,12,,
14,0,0,0,1,15,32,
15,0,0,0,14,16,31,
16,0,0,0,17,30,15,
17,0,0,0,16,18,29,
18,0,0,0,17,3,19,
19,0,0,0,4,20,28,18
20,0,0,0,6,21,19,
21,0,0,0,11,20,26,22
22,0,0,0,21,13,23,26
23,0,0,0,22,24,25,
24,0,0,0,23,43,,
25,0,0,0,23,49,42,
26,0,0,0,49,21,25,27
27,0,0,0,26,49,28,42
28,0,0,0,27,19,39,
29,0,0,0,17,30,36,
30,0,0,0,31,16,29,
31,0,0,0,30,15,33,
32,0,0,0,33,14,,
33,0,0,0,32,31,34,35
34,0,0,0,35,33,36,
35,0,0,0,34,33,37,
36,0,0,0,37,29,38,34
37,0,0,0,36,40,35,
38,0,0,0,36,39,40,
39,0,0,0,38,28,41,46
40,0,0,0,38,37,47,
41,0,0,0,42,39,46,
42,0,0,0,41,25,49,43
43,0,0,0,44,42,24,48
44,0,0,0,45,43,,
45,0,0,0,44,,,
46,0,0,0,39,41,48,47
47,0,0,0,46,40,,
48,0,0,0,46,43,,
49,0,0,0,26,25,27,42
